Norwegian,English
kvalm,"close, stuffy; ill, nauseated"
et eldresenter,senior citizens' community centre
irsk,Irish
å træ,to thread
å utrydde,"to exterminate, eliminate"
en ekspedisjon,"attendance to; office*, counter* expedition"
å vaksinere,to vaccinate
et oppmøte,"turnout, attendance "
kapitalistisk,capitalistic
en ambassade,embassy
en flekk,"smudge, speck, spot, patch"
femti,fifty
en permisjon,leave of absence 
stråling -a,"[the] irradiation, radiation "
stigende,"rising, increasing "
å innvilge,to acquiesce
jern -et,[the] iron
ei oppfordring,"call, request"
en bataljon,battalion
drastisk,"drastic, brutal, crass"
en biografi,biography
næringsdrivende,"in business, trade"
et minnekort,memory stick 
sølv -et,[the] silver 
et verv,"task, commission, duty "
et farvann,"[shipslei] water, waters, fairway "
samfunnsfag -et,[the] social subjects 
å ture,"to booze, carouse "
en fotballkamp,soccer match
ei årrekke,sequence of years 
ei avklaring,clarification
kvart -en,[the] quarter
å forske,"to carry on, research, investigate"
pussig,"droll, amusing, funny, odd"
en biskop,bishop
en salat,"lettuce, salad "
ei rumpe,"behind, bottom, backside, ass "
sexy,"sexy, hot "
underkant -en,"[the] bottom edge, underside; lowest limit, minimum"
relevans -en,"[the] relevance, pertinence "
ei rådgivning,"consultancy, counselling "
å blokkere,"to blockade, block"
humoristisk,humorous
forvirring -a,[the] confusion
privatisering -a,[the] privatization 
en forvalter,"agent, manager"
en hale,tail
ei norm,"norm, standard"
fortløpende,"consecutive, running"
å tilegne,to dedicate 
å låse,to lock; bolt
tilfreds,"content, satisfied "
en seksjon,section
sannelig,"truly, verily "
skryt -et,"[the] bragging, boasting; praise "
å overvelde,"to overwhelm, overpower "
nytelse -n,[the] enjoyment 
ei tilpasning,"adaptation, adjustment, accommodation "
en markedsandel,market share 
fryd -en,"[the] delight, joy"
å undre,"to surprise, astonish "
å mestre,to master
en konstruksjon,construction
en tyv,thief
ei tå,toe 
en minoritet,minority 
polsk,Polish 
å verdsette,"to estimate, value"
ei seter,"summer pasture, mountain pasture "
et horn,horn
ufarlig,"safe, without risk "
å bedømme,"to appraise, judge"
Irak,Iraq
et hjerteinfarkt,"infarct of the heart, thrombosis"
livskvalitet -en,[the] quality of life 
å steke,"to roast, bake "
iblant,"at times, occasionally; among (them)"
en ovn,oven 
å hakke,"to chop, hack"
et lederskap,leadership
et anbud,bid; estimate
en sensur,"censoring, censorship, examination results "
en stemmerett,right to vote
å disponere,"to have at one's disposal, command"
inderlig,"heartfelt, sincere"
feilaktig,"defective, faulty, erroneous"
en reportasje,"report, coverage "
ei messe,"fair, show, exhibition"
å belyse,"to illuminate, elucidate, illustrate"
inngående,"incoming; detailed, exhaustive"
mager,lean; meager
å ryke,"to smoke, reek"
å skli,"to skid, slip "
en informasjonssjef,"public relations manager, information manager"
journalistikk -en,[the] journalism
aksept -et,[the] [merc.] acceptance
en tredjedel,third 
en forhandler,"negotiator, dealer"
en jurist,jurist; law student
en spøk,joke 
et fjernsyn,television
ei forankring,"anchorage, anchoring, fastening"
en diett,diet
velstand -en,[the] prosperity
å forbinde,"to combine, connect; bandage"
gjeldende,"in force, valid"
ei styrking,confirmation 
et monster,"monster, giant "
å forankre,"to anchor, moor"
en vanske,"difficulty, trouble "
å avsette,"to amputate, remove from office"
et hint,hint
å etterlate,to leave (behind)
et gen,gene
smidig,"pliable, flexible "
en vask,wash
ei bortebane,(fotball) away ground 
å unnskylde,"to excuse, overlook"
et lam,lamb
å utfylle,"to fill, supply "
et kyss,kiss
oksygen -et,[the] oxygen 
Kanariøyene,Canary Islands
ei utveksling,"gear, exchange, transmission "
en senior,senior 
en arbeidsmiljølov,health and safety at work act 
en dugnad,community project
oversiktlig,"clear, easy-to-understand, surveyable"
et årsskifte,"turn of the year, new year "
et anslag,"estimate, evaluation, impact"
å eksplodere,to explode
nevneverdig,worth mentioning 
en hyllest,"cheers, ovation"
en klimagass,greenhouse gas 
en uavhengighet,independence 
ei luke,"opening, wicket; shutter"
et skinn,light
rasende,"furious, in a rage "
ei rensing,"cleaning, cleansing, purification "
et forsikringsselskap,insurance company
prostitusjon -en,[the] prostitution 
parallell,parallel 
inneværende,"current, present"
en russer,Russian 
strak,"straight, upright "
et lokk,"cover, lid"
et håndverk,"handicraft; craft, trade"
kjemi -en,[the] chemistry
et arbeidsforhold,"working conditions, conditions of work "
et virus,virus 
en privatperson,private individual 
å gange,to multiply
å hviske,to whisper
en opptreden,"behaviour, conduct "
en publikasjon,publication 
en same,Sami 
et kvarter,quarter (of an area)
et kulturminne,cultural monument 
ei pølse,sausage 
naturfag -et,[the] natural science 
en redegjørelse,"account, statement, review, report "
taus,"silent, hushed, taciturn"
betong -en,[the] concrete
hydrogen -et,[the] hydrogen
et smykke,jewelry
en ankomst,arrival
en forespørsel,inquiry
ei uttelling,"payment, disbursement, amount"
utstrakt,"stretched out, wide, extensive"
en bakterie,"germ, microbe"
et berg,"mountain, rock"
aldeles,"completely, exactly"
en lydkvalitet,quality of sound 
å overvåke,"to monitor, look after, watch over "
trøst -a,"[the] comfort, consolation, solace "
tilbehør -et,"[the] accessories, attachment, fittings "
utviklingsarbeid -et,[the] development work 
allsidig,"versatile, comprehensive"
en indeks,index
legendarisk,legendary
skapende,"creative, constructive "
å synliggjøre,to make visible 
sjakk -en,[the] chess 
et savn,"want, lack, loss"
humanistisk,humanistic
avslappet,easy-going 
realfag -et,[the] scientific subjects
rotete,"messy, untidy, mixed-up "
en dyrlege,veterinarian
optimisme -n,[the] optimism 
oppvokst,"brought up, raised, bred "
å rømme,"to leave, quit; escape; evacuate"
svette -a,[the] sweat 
femten,fifteen
å suse,"to whistle, whizz; whisper, sough"
en administrator,administrator
en protokoll,"protocol, minutes of a meeting "
en trøkk,"blow, push, shove"
et kjemikalie,chemical
å rane,to rob 
dagtid -a,[the] daytime 
en signatur,signature 
et gjerde,fence
en garderobe,"checkroom, wardrobe"
irakisk,Iraqi
en transaksjon,transaction 
en applikasjon,application
grus -en,"[the] gravel, rubble, ruins"
ei mishandling,ill-treatment 
påfallende,"conspicuous, striking "
en match,(sports) match
en alarm,"alarm; hubbub, racket, uproar"
elektronikk -en,[the] electronics
allergisk,allergic
fremtredende,conspicuous
romslig,"roomy, spacious "
en smell,"bang, slam, crack"
foregående,"preceding, previous"
et paradoks,paradox 
et kjennetegn,"mark, sign"
personvern -et,"[the] personal protection, right to privacy"
rikdom -men,"[the] affluence, riches"
et slott,"palace, castle"
å forenkle,to simplify
ei lekse,lesson; homework
en anelse,"idea, inkling, notion, hunch"
ei list,"moulding; cunning, slyness"
å haste,to hurry; be urgent
heretter,"after this; henceforth, hereafter"
å konstruere,"to construct, design"
en bygningslov,"building regulation(s), building law(s"
et stell,set 
en pupp,boob
et utviklingsland,developing country
et bryggeri,brewery
et komma,comma
innledende,introductory
førstkommende,next
ei kurv,basket 
lim -et,[the] glue
forpliktende,binding
å knekke,"to crack, snap"
et uttak,"removal, withdrawal"
å væpne,to arm 
et vegvesen,road administration 
avsluttende,"final, definitive "
å lokalisere,to localize; confine; locate
en sopp,"mushroom, fungus "
en opptur,journey up 
en piksel,pixel
en trikk,tram
å forsyne,"to furnish, provide, supply"
ei helsesøster,"UK: health visitor, US: public health nurse "
å blomstre,"to blossom, flower, flourish"
en fiber,fiber
en stolthet,pride 
dernest,"next, subsequently, then, further"
ei etterretning,"(piece of) information, news; (pl) information"
en komplikasjon,complication
en dress,suit (of clothes)
uakseptabel,unacceptable 
bratt,"steep, curt, abrupt"
et frø,seed
ei blokk,"block, ingot"
et ran,"robbery, raid "
en integrasjon,integration 
likeså,"likewise, the same; equally"
en etappe,"stage, step"
en slektning,"relation, kinsman"
et reisemål,destination 
entydig,unambiguous
å misbruke,"to abuse, take advantage of, misuse"
å ferdes,"to travel, voyage"
å henrette,"to execute, put to death"
magi -en,[the] (occult) magic
å oppnevne,"to appoint, nominate "
splitter,splitter 
et faks,"mane, shock of hair"
ei sikring,"protection, securing"
skriving -a,[the] writing 
å vinke,to wave 
en restriksjon,restriction 
ei fremstilling,"depiction, portrayal, manufacture"
sovjetisk,Soviet 
en sentralbank,central bank 
biologi -en,[the] biology
en kampsport,"martial art, combat sport "
et krydder,"seasoning, spice"
en lidenskap,"passion, strong feeling for; object of passion"
spilletid -a,[the] playing time 
å lengte,"to long, yearn"
en elite,elite
skandinavisk,Scandinavian 
ei pille,pill 
en instans,authority
offside -n,[the] offside 
å vedlegge,"to attach, enclose "
avhengighet -a,[the] dependence
å hyle,"to howl, yell"
et nærmiljø,"community, neighbourhood "
uendret,unaltered 
å jage,to hunt [lit.]
elektrisitet -en,[the] electricity
å vedvare,"to persist, continue, last "
mangelfull,"deficient, insufficient; defective, faulty"
en introduksjon,introduction
å notere,to make a note of; register
en elg,European elk
insulin -et,[the] insulin
tilslutning -a,"[the] connection, affiliation "
ei sammenslåing,merger 
ettertanke -n,[the] reflection
å herje,"to devastate, ravage, plunder"
kontroversiell,controversial 
likeledes,"likewise; also, besides"
å gjenspeile,to reflect
nyskapende,innovative 
å spekulere,"to think, ponder; speculate"
ei drakt,"attire, clothes, garb, suit, costume"
en skuffelse,disappointment
ei tromme,drum 
feit,fat
inklusive,inclusive
likegyldig,"immaterial, unimportant; indifferent"
en toppscorer,top scorer
utpå,"out on, out in, out at "
en villa,"villa, detached house"
uenighet -en,"[the] disagreement, dissension"
atomvåpen -et,[the] atomic weapon
behold,i ~ = intact
utenkelig,"unthinkable, inconceivable "
å kompensere,to compensate
galskap -en,"[the] insanity, lunacy"
dop -en/-et,"[the] drugs, dope "
å besette,"to occupy, fill, obsess, possess"
en fortjeneste,"earnings, profit"
et samliv,"cohabition, life together"
retorikk -en,[the] rhetoric 
en kur,"cure; treatment; court, formal reception"
bakfra,from behind
å fraråde,to advise
rødvin -en,[the] red wine
en middelalder,middle age 
ei negl,nail 
et spekter,"spectrum, spectre"
sosiologi -en,[the] sociology 
et ubehag,discomfort 
et landsforbund,"league, national federation"
uvitende,ignorant 
en lærdom,"erudition, learning, scholarship"
uaktuell,not of current interest 
merverdiavgift -a,"[the] value added tax, VAT "
en taxi,taxi
et kredittkort,credit card 
et paradis,paradise 
å introdusere,to introduce
å tilgi,"to forgive, pardon "
en flamme,"blaze, flame"
foresatt,"superior, [as noun] authority, guardian "
utenrikspolitikk -en,[the] foreign policy
et ratt,"wheel, steering wheel "
en prikk,"dot, point "
et knippe,snap (of the fingers)
et samleie,intercourse
et parlament,Parliament 
skrekk -en,[the] fear 
mindreårig,"minor, underage person"
ei redning,rescue 
et kontinent,continent
dyster,"bleak, gloomy, depressing"
forut,"before, beforehand"
en krangel,quarrel; contentiousness
et sukk,sigh 
frakt -a,"[the] cargo, freight, carriage, transportation"
humanitær,humanitarian
aids -en,[the] AIDS (Acquired Immune Deficiency System
en hanske,glove
et syndrom,syndrome 
en aften,evening; eve
en assistent,"assistant, helper"
integritet -en,[the] integrity
kompakt,compact
ei vogn,"carriage, wagon "
et mindretall,minority 
en applaus,applause
en forstyrrelse,"disturbance, confusion"
ei vedtekt,"rule, ordinance "
en kalender,"almanac, calendar"
belysning -a,"[the] lighting, illumination, elucidation"
et portrett,portrait 
eksakt,exact
en sanksjon,sanction
en karantene,quarantine
verdensrom -met,"[the] outer space, space "
en omverden,"surrounding world, surroundings "
juling -a,"[the] beating, thrashing"
en reguleringsplan,"development plan, local plan "
et diktatur,dictatorship
ei sidelinje,"sideline, branch line, branch "
ei oppbygging,"building up, construction, structure "
en rakett,"rocket, missile "
å treffes,to meet 
et fradrag,"allowance, deduction"
ei folketrygd,"national insurance, US: social security "
reiseliv -et,"[the] tourism, travel business, travelling "
et gjensyn,meeting (again)
et skrivebord,"desk, office desk "
verdighet -a,[the] worthiness
et utløp,"outlet, mouth, discharge"
ei landsbygd,rural community
å utbetale,"to pay, pay out, disburse "
en dal,valley
trivsel -en,"[the] thriving, prosperity"
en vokalist,vocalist
en fornyelse,renewal
sammenlagt,"combined, put together "
å regissere,to direct
frelse -n,"[the] deliverance, rescue"
fuktig,"damp, humid"
et jubileum,anniversary
et tyveri,theft
å minnes,"to remember, recollect"
alltids,always; at least
ei kjønnsforskning,gender research 
et skjegg,beard 
ei strekning,"distance, way, stretching"
en bachelor,bachelor 
fortvilet,"dispairing, desperate"
en torsk,cod 
etablert,established 
et regnestykke,calculation 
uforståelig,incomprehensible 
et brannvesen,fire department
et utbrudd,"outburst, outbreak"
et forfatterskap,authorship
ei reke,shrimp
å spenne,"to stretch, strain, tighten"
et operativsystem,"operating system, OS "
overlegen,"superior, haughty, supercilious "
skjev,"crooked, lopsided"
ei fordypning,"depression, hollow"
et moment,moment 
et dilemma,dilemma
ei fullmakt,credentials
en prioritet,priority 
å stemple,"to stamp, brand "
profitt -en,[the] profit 
fyldig,"copious, complete, full, plump"
å skjelve,"to tremble, shiver, shake"
fortvilelse -n,"[the] dispair, desperation"
et prosjektarbeid,project work 
en margin,[merc.] margin
terapi -en,[the] therapy
asiatisk,"Asian, Asiatic"
ei innvending,objection
utenpå,"outside, on the outside "
å prostituere,to prostitute 
oppegående,"ambulatory, not confined to bed "
bagasje -n,"[the] baggage, luggage"
et supplement,supplement 
en aktivist,activist
et jordskjelv,earthquake
et rammeverk,framework 
et vrak,wreck
ei saksbehandling,"work, procedure"
en lastebil,(motor) truck
et nybygg,"new construction, new building "
ultimat,ultimate 
Koranen ,the Koran 
å skissere,"to draft, outline, sketch"
mellomstor,"middle-sized, medium(-sized"
en håndfull,handful
å ruste,to rust; arm
lesbisk,Lesbian 
afghansk,Afghan
folkevalgt,elected by popular vote
en sparebank,savings bank 
overens,stemme ~ = to agree 
slapp,"limp, listless, slack, relaxed"
å gjennomtenke,"to think through, consider carefully"
næringsutvikling -a,[the] industrial and commercial development 
en begivenhet,"event, occurence"
et borettslag,housing cooperative
en reisende,traveller 
en andreplass,second place 
atskillig,a good deal (of)
tiende,tenth 
spontan,spontaneous 
en partikkel,particle 
vett -et,"[the] brains, sense, wits "
ei omlegging,"change, alteration, shift "
livlig,"animated, lively"
en distanse,(long) distance
harmoni -en,"[the] accord, harmony"
et mineral,mineral 
å splitte,to split 
kulde -a,"[the] cold, coldness"
øm,"sore; tender, loving, gentle "
kanarisk,pertaining to the Canary Islands
et nabolag,"neighbourhood, vicinity "
å lene,to lean
engstelig,"anxious, apprehensive"
sminke -a,[the] make-up 
modig,"courageous, brave "
å dale,"to fall, decrease, sink"
truende,threatening; imminent
å doble,to double
ubrukelig,useless 
Danmark,Denmark
en utroskap,"unfaithfulness, infidelity"
intelligens -en,[the] intelligence
begeistring -a,[the] enthusiasm
å akte,"to heed, pay attention"
lat,"indolent, lazy, shiftless"
en merknad,"note, annotation, comment"
tek -en,"[the] knack, hang "
en lur,"nap, snooze"
komfortabel,comfortable
et underlag,"base, foundation, support"
et begjær,"strong desire, lust"
incest -en,[the] incest 
utvendig,"external, exterior, outside"
en forlengelse,continuation
et telefonnummer,call number 
en forsinkelse,delay
katolsk,catholic
sosialdemokratisk,social democratic 
et kunstverk,work of art
statsvitenskap -en,[the] political science 
en problematikk,"issue, problems"
innledningsvis,introductorily 
å brake,"to bang, crack, crash, thunder"
en skolegang,school attendance 
en varde,"cairn, beacon "
en velsignelse,"sanction, approval "
en byråd,"city council, town council "
sær,"difficult, moody; touchy"
en dessert,dessert
maling -a,[the] paint
å igangsette,"to start, activate"
å grunnlegge,"to establish, found"
å innbille,"to lead (sby) to believe, make (sby) believe"
en bestand,stock (of animals); stand (of trees)
en frekvens,frequency
et forbrukerombud,consumer ombudsman 
å torturere,to torture
et cruise,cruise
en prosedyre,procedure 
simpelthen,simply
bekjent,"famous, noted, well-known"
ei oppussing,"decoration, renovation, touching up "
idiotisk,idiotic
lojalitet -en,[the] loyalty
frekk,"bold, impudent"
å skjerme,"to protect, shield; screen"
å gro,to grow
fylkesting -et,[the] ~county board
et presidentvalg,presidential election 
selvstendighet -a,"[the] independence, originality "
ei miljøgift,environmental poison 
poesi -en,[the] poetry 
snus -en,[the] snuff 
ei ørn,eagle 
ei overbevisning,conviction 
pedagogikk -en,"[the] pedagogics, pedagogy "
en forgjenger,predecessor
å profilere,"to shape, profile "
å kidnappe,to kidnap
en formann,"chairman, foreman"
samordning -a,"[the] coordination, harmonization, integration "
hjertesvikt -en,[the] heart failure 
et direktorat,directorate
en majoritet,majority
derav,from this (cause)
bortimot,"toward, almost, approximately"
å speile,to fry 
ei hindring,obstacle
å oppheve,"to suspend, annul, cancel"
nederlandsk,"Dutch, Netherlands"
snau,"scanty, bare "
Syden ,the South 
unødig,"unnecessary, needless"
en pils,"lager, Pilsner"
å rusle,"to stroll, pad, potter "
virtuell,virtual 
en eiendomsskatt,property tax
å mose,to mash
en tannlege,dentist
en lengsel,"longing, yearning"
å feile,"to err, go astray, fail"
oppsikt -en,[the] attention 
å snuble,"to stumble, trip, trip up "
et ritual,"custom; ritual, rite"
å fremkomme,"to appear, come to light"
en visdom,wisdom 
en oppdragsgiver,"contractor, employer, principal "
ei ku,cow
en kvalifikasjon,qualification
påvente,i ~ = pending
dramatikk -en,"[the] drama, dramatic literature"
en melodi,"melody, tune "
et arbeiderparti,labor party
en målestokk,"rule, scale, measure, yardstick "
en ondskap,"wickedness, malignity, spite "
en opphavsrett,copyright 
en klump,"clod, clump; ball"
et flyselskap,airline (company
tobakk -en,[the] tobacco 
en oppdragelse,upbringing 
en arbeidsdag,"working day, everyday, working hours, workday"
en næringsvirksomhet,"business sector, business activity"
saft -a,"[the] syrup, cordial; juice; sap"
unormal,abnormal
et arbeidsvilkår,working conditions
en egenandel,own risk 
å anlegge,"to construct, establish, start, adopt"
en hæl,heel
kjølig,"chilly, cool"
å overstige,"to exceed, surpass"
å sprute,"to squirt, splash"
glitrende,"glittering, sparkling, brilliant "
isolasjon -en,[the] isolation
ei tang,"pincers, tongs"
ei frigjøring,"emancipation, liberation"
et avvik,"departure, derogation, waiver "
et etternavn,"family name, surname"
avfall -et,"[the] refuse, scraps, waste"
en knop,knot (rope; unit of speed)
å reparere,"to repair, mend, fix up "
ironi -en,[the] irony
teologisk,theologic 
brukervennlighet -en,[the] user-friendliness 
en mekanisme,mechanism
et antrekk,"attire, dress"
dertil,"[archaic] to that, there, for that"
en doktorgrad,doctor's degree
en hovedregel,axiom
en skjønnhet,beauty 
å sperre,"to block, obstruct"
en fremgangsmåte,"course of action, procedure"
et hovedkontor,main office
en penn,pen 
oppriktig,"devout, sincere"
ufrivillig,"involuntary, unintentional"
fortrinnsvis,"above all, especially"
et nærvær,presence 
legitimitet -en,[the] legitimacy
et selvforsvar,self-defence
å bremse,"to brake, slow down"
ei takling,tackling 
nødhjelp -a,[the] makeshift; emergency treatment 
en organisme,organism 
en bebyggelse,building(s)
en etterkommer,descendant
en taktikk,tactic(s)
trakassering -a,"[the] harassment, victimisation "
grådig,"greedy, voracious"
en major,"major (Air Force, Army)"
en høyskole,"academy, college, university "
ryddig,"orderly, tidy, clear "
en partileder,party leader 
et opplag,"stock, store "
en oppdagelse,"discovery, detection, realization"
å banne,[archaic] to forbid
ferskvann -et,[the] fresh water
en modus,mode 
en studiekompetanse,university and college admissions certification 
en økonom,economist; thrifty person
en vokal,vowel 
iransk,"Iranian, Persian"
en bolle,"bowl; (sweet) bun, roll; (fish meat) ball"
eksplisitt,explicit
mestring -a,[the] command 
trofast,"faithful, loyal "
ei aldersgruppe,age group 
et fundament,"foundation, base"
ujevn,"uneven, rough, unequal "
lun,"cozy, snug"
å ryste,to shake 
en kommentarfelt,comments field 
en ambulanse,ambulance
et folkemord,genocide 
et mirakel,miracle 
en weekend,weekend 
ei lokalbefolkning,"townsfolk, townspeople "
et julebord,table spread with Christmas food
sjalu,jealous
forurense,"to contaminate, pollute"
en kulturminister,Minister of Cultural Affairs
en barnehageplass,"place in a kindergarten, day nursery place "
bortover,"along, across"
frittstående,"detached, isolated"
en hjelm,helmet
en dikter,"poet, author, writer"
en ruin,ruin 
en styreformann,chairman of the board (of directors)
uinteressant,uninteresting 
en narkoman,"drug addict, narcotic"
å grue seg,"to be nervous, dread, worry about"
å stupe,"to dive, plunge "
utbredelse -n,"[the] spread, dissemination, diffusion "
å mobilisere,to mobilize
nordlig,"northern, north"
tåpelig,"silly, foolish"
å storme,to storm
ei kvote,quota
naturforvaltning -a,[the] nature management 
å aktivere,"to actuate, capitalize"
et fåtall,"(a) few, (a) minority"
å mishandle,to ill-treat
å hoste,to cough
ei legning,"laying, placing; intellectual bent, turn"
et straffespark,penalty kick 
helsemessig,health-related 
imperialisme -n,[the] imperialism
en risk,"risk, hazard, danger "
teit,"stupid, dim, daft"
en meditasjon,meditation 
en tomat,tomato 
en valgfrihet,freedom of choice
dess,the <objective case of den>
svimmelhet -en,"[the] dizziness, giddiness "
et underliv,abdomen 
en taper,loser
åssen,how?
et regjeringsparti,governing party
et rådyr,"roe, roedeer, venison "
en begravelse,funeral
eiendomsrett -en,"[the] ownership; rights, title"
en evighet,eternity
leire -t,"[the] clay, mortal clay"
å overtale,"to persuade, induce"
et tau,rope 
en prevensjon,"contraception, prevention, birth control "
et belegg,"coating, covering, instance, occurrence"
bioenergi -en,[the] bioenergy 
å høste,"to approach (autumn); harvest, reap"
en favør,favor
en prosessor,processor 
undertøy -et,[the] underwear 
maritim,maritime
en koordinator,coordinator 
å minske,"to decrease, reduce, diminish, lessen"
å berge,"to rescue, save"
en fastlege,family doctor 
islandsk,Icelandic
en fortsettelse,continuation
å konvertere,[merc.] to convert
ei hofte,hip
en søknadsfrist,"proposal deadline, deadline for applications"
ubegrenset,"unbounded, boundless"
en etat,"(government) department, service"
en allmennhet,public
en sokkel,"base, pedestal, foundation "
å nedfelle,"to draw, trace"
avføring -a,"[the] bowel movement, excrement, stool"
særegen,"peculiar, strange, odd"
et utslett,"rash, skin eruption "
godteri -et,"[the] sweets, goodies "
å omgjøre,to reverse
kompetanseutvikling -a,"[the] development of expertise, human resources development "
levekår -et,"[the] living conditions, circumstances "
en uniform,uniform 
fullverdig,of full value
å motvirke,"to counteract, work against, counter "
human,"humane, humanistic"
antageligvis,presumably 
kjip,cheap
en sigarett,cigarette
ei grav,grave
en hjemmel,authority
sprit -en,"[the] alcohol, spirits "
analog,analogous
urealistisk,unrealistic 
patetisk,"emotional, solemn, high-flown "
geografi -en,[the] geography
å navigere,to navigate
en energikilde,source of energy
Marokko,Morocco
en hjemmekamp,"home match, home game "
en ørken,desert 
en utførelse,"performance, execution, craftmanship"
ei råvare,raw material 
dristig,"bold, daring"
innbyrdes,"mutual, reciprocal"
en mal,templet
en emisjon,"[merc.] issue (stock, currency)"
et stevne,"rally, meeting, gathering "
ei stripe,stripe 
en representasjon,"representation, entertaining"
frodig,"lush, luxuriant, lively"
hjel,i ~ = to death
et læremiddel,teaching aid
brystkreft -en,[the] breast cancer 
saltvann -et,"[the] salt water, sea water "
et forskningsprosjekt,research project 
tam,"tame, domesticated "
å mate,to feed
å utlevere,"to distribute, deliver; expose"
København,Copenhagen
stødig,"steady, reliable, dependable "
ei forbrenning,"combustion, [med.] burn"
å klargjøre,"to clarify, elucidate"
et knall,"bang, exploxion, report, crack"
undertrykkelse -n,"[the] suppression, subjugation, oppression "
en visepresident,vice president
et gasskraftverk,gasworks 
komfort -en,[the] comfort
en nettbutikk,"web shop, Internet shop "
videreutvikling -a,[the] development 
en løk,onion
å mislykkes,"to fail, be unsuccessful, not succeed"
et nyår,New Year
å spy,"to vomit, throw up, spew "
latin -en,[the] Latin
å utpeke,"to point out, indicate, appoint"
brukervennlig,user-friendly 
tålmodig,patient 
et privatliv,private life 
Russland ,Russia
et mas,"bother, difficulty, fuss"
ei sysselsetting,employment 
sjalusi -en,[the] jealousy
et avkom,"issue, offspring"
en eierandel,"owner share, owner's share "
formidabel,formidable; prodigious
en kam,comb
å mislike,to dislike
en irritasjon,irritation
beklagelig,"deplorable, regrettable"
et husdyr,"house pet, domestic animal"
et snev,"touch, suggestion, trace "
et fyrverkeri,fireworks
midnatt -a,[the] midnight 
optikk -en,[the] optics 
å bekjenne,"to confess, admit"
honning -en,[the] honey
ypperst ,best
et skrik,"scream, shriek "
et bryllup,wedding
en morder,murderer 
et aksjeselskap,"Ltd., public corporation "
en resept,prescription 
et spedbarn,"infant, baby "
et bakhode,back of the head
å overgå,"to exceed, outdo, outshine"
en assosiasjon,association
å avbryte,"to break (off), stop"
glans -en,"[the] brilliance, glitter, gloss"
ventilasjon -en,[the] ventilation
signifikant,significant
tidkrevende,time-consuming 
livredd,deathly frightened
en svikt,"failure, reduction, decline"
velstående,"prosperous, affluent"
å halvere,"to divide in half, in two"
barnslig,"childish, childlike"
en kattunge,kitten
uvitenhet -en,[the] ignorance 
en brems,brake
et monopol,monopoly 
en rev,fox 
ei beskatning,"assessment, levy, taxation"
en skattelov,"income tax act, finance act"
et arr,scar
en millimeter,millimetre 
en injeksjon,injection
symbolsk,symbolic 
et akvarium,aquarium
en helsemyndighet,health authority 
ei samtid,"present time, one's age/contemporaries"
presisjon -en,[the] precision 
å dumpe,"to fall heavily, tumble, fail, flunk an examination"
en ektefelle,spouse
utfor,over 
livsfarlig,experience (in life)
nederst,"lowest, bottom"
å avskaffe,"to abolish, do away with"
å blinke,"to emit flashes, sparkle"
en stakkar,"poor creature, miserable wretch "
åttende,eighth 
disiplin -en,[the] discipline
unaturlig,"unnatural, affected "
en tast,"key (piano, typewriter, etc.)"
utkikk -en/-et,"[the] lookout, observation, watch; guard"
ei aldersgrense,retirement age
et fortrinn,"precedence, priority"
et gods,"goods, property, freight, baggage"
å innkalle,to call in; summon; convene
uproblematisk,unproductive 
et naboland,neighbouring country 
uviss,uncertain
å vippe,"to tilt, tip, bob"
sågar,"even, indeed "
variert,varied
nedbør -en,"[the] rain, precipitation "
ei oppføring,"entry, raising"
en overensstemmelse,"accordance, agreement, conformity"
et innbrudd,"burglary, housebreaking"
kortvarig,"of short duration, short"
urban,urban 
et barnehjem,orphanage
en politimann,policeman
ei innlevering,"handing in, sending in "
et bystyre,town government 
utslitt,worn-out 
å bedrive,to commit
ei åpningstid,"opening time, opening hours"
ei lunge,lung
utsolgt,"out of stock, sold out"
en reprise,"re-issue, re-release, stage "
en hatt,hat; cap
et kraftverk,power plant
nazisme -n,[the] Nazism 
en godbit,tidbit
et sverd,sword 
poker -en,[the] poker 
å sveve,"to glide, fly"
varetekt -a,"[the] custody, care, detention "
blek,"pale, pallid"
en horisont,horizon
ei kappe,"fighter, hero; cap; cape"
en misjon,mission 
ei skatteliste,"register of taxpayers, tax roll(s)"
en sponsor,sponsor 
ei avhandling,"dissertation, monograph, thesis"
internasjonalisering -a,[the] internationalisation 
en eksplosjon,explosion
en kineser,Chinese
en logo,"logo, brand image "
et politidistrikt,police district 
å vike,"to yield, give way "
å avbilde,"to depict, portray"
å mobbe,"to bully, victimize"
ei utbetaling,"payment, disbursement"
en selvangivelse,tax return 
besteforeldre,grandparents
en essens,essence
ei lovgivning,legislation
nordlys -et,"[the] northern light, polar light "
en etterfølger,successor
en læreplan,curricula 
irrelevant,irrelevant
en stokk,"stick, cane "
høflig,"courteous, polite"
innovativ,innovative 
ei kvalitetssikring,quality assurance 
en nazist,nazi
et hovedmål,primary goal 
å lime,to glue
en galakse,galaxy 
et insekt,insect
et panel,panel 
en resolusjon,resolution 
ambisiøs,"ambitious, aspiring "
gøteborg,Gothenburg
en rate,"rate, rate of growth; instalment"
et avhør,"hearing, interrogation"
å børsnotere,to be quoted on the stock exchange 
en konsensus,consensus 
å utestenge,"to exclude, shut out "
et dekar,"decare (measure of land), ab. 1/4 acre"
en kontekst,context
å benekte,to deny
vindkraft -a,[the] wind power 
en verdensøkonomi,world economy 
å betinge,"to give a condition, insist on, stipulate"
et byggverk,"building, structure"
smertestillende,pain-relieving 
å våres,to become spring
et territorium,territory 
